tweet_text,sentiment,subjectivity,sentiment_word,subjectivity_word
RT @Dr_Saaheba: RCB has  defeated Gujrat Titans in the Indian Political League!  #KarnatakaElectionResults2023,0.0,0.1,neutral,objective
RT @AzamAmir96: Rashid Khan for Gujrat Titans despite the defeat   79 runs of 32 Ball 10 Sixes 3 Fours  4 Wickets  7.5 Economy  1 Catch   S…,0.0,0.0,neutral,objective
RT @Dr_Saaheba: RCB has  defeated Gujrat Titans in the Indian Political League!  #KarnatakaElectionResults2023,0.0,0.1,neutral,objective
"RT @Delldiamond4: Munawar Was Live On Star sports. It was His First Time On TV.   @munawar0018  was Seen, Supporting Gujrat Titans 😊😌 So I…",0.21212121212121213,0.3611111111111111,positive,objective
@Bloody_Expiry Same for gujrat Titans and still on no 1 😂😂  I don't really understand what's the point of picking up a player if you can't back and held accountable  for their performances ??,0.06666666666666667,0.10833333333333334,positive,objective
RT @Dr_Saaheba: RCB has  defeated Gujrat Titans in the Indian Political League!  #KarnatakaElectionResults2023,0.0,0.1,neutral,objective
RT @Dr_Saaheba: RCB has  defeated Gujrat Titans in the Indian Political League!  #KarnatakaElectionResults2023,0.0,0.1,neutral,objective
Gujrat Titans in their upcoming game!!  #IPL #iplteams #TATAIPL #gujarattitans #hardikpandya #indiancricket #tataipl2023 #gujarattitans https://t.co/c2kfXi0c5I https://t.co/SqO3ck8TXB,-0.625,0.4,negative,objective
@FoodSupernova Gujrat Titans  #TATA_IPL_predict_now @FoodSupernova  Tagging  @dayalojha_  @Sanjiv_34  @iam_margam  @sandeep_447  @Chinnarayudu98 @Sagar14Naik @pari0275,0.0,0.0,neutral,objective
RT @AshuSocial1: Comment your TOP 4  I will START!  Gujrat Titans Chennai Super Kings Mumbai Indians Rajsthan Royals  Continue...  #IPL2023,0.47916666666666663,0.5833333333333333,positive,subjective
