tweet_text,sentiment,subjectivity,sentiment_word,subjectivity_word
RT @ashaa_45: Mumbai Indians defeated Gujrat Titans ❤️ Well done @mipaltan https://t.co/ixU0H92suw,0.0,0.0,neutral,objective
RT @Mufaddal_V0hra: Predict the score of Rohit Sharma VS Gujrat titans today the correct one's will get ₹3000. #MIvsGT  Note:- Must follow…,0.0,0.0,neutral,objective
Just Remember the name of @rashidkhan_19 TATAIPL2023 @Gujrat_titans_ https://t.co/JOeKdPZb8S,0.0,0.0,neutral,objective
@Gujrat_titans_ @rashidkhan_19 आपने तो आज कमाल कर दिया पहले बॉलिंग करते हुए 4 विकेट फिर बल्लेबाजी में 32 बॉल पर 79 रन जिसमें 10 छक्के 3 चौके  मुंबई के पूरे इनिंग में 12 छक्के लगे थे  मैच मुंबई ने जीता है पर दिल राशिद खान आपने❤️  6666666666444 🏏  #RashidKaramatiKhan #MIvsGT https://t.co/kH7XIv6ENf,0.0,0.0,neutral,objective
@Gujrat_titans_ But being a Gujarati...Aaplog sirf apna fayda dekhe or match Haar Gaye😂😂😂 #MIvGT #Suriya #RashidKhan,0.0,0.0,neutral,objective
RT @ashaa_45: Mumbai Indians defeated Gujrat Titans ❤️ Well done @mipaltan https://t.co/ixU0H92suw,0.0,0.0,neutral,objective
Surya के चमक को नहीं झेल पाई Gujrat Titans. IPL करियर का पहला शतक लगाया. Watch video on YT:- https://t.co/rEsylVEwrG  #ipl #cricket #mumbaiindians #suryakumaryadav #rashidkhan #suryacentury #rashidksixes #miwin #hardikpandya #pointstable #csk #timdavid #rohitsharma,0.0,0.0,neutral,objective
RT @Mufaddal_V0hra: Predict the score of Rohit Sharma VS Gujrat titans today the correct one's will get ₹3000. #MIvsGT  Note:- Must follow…,0.0,0.0,neutral,objective
What an innings by Sky for Gujrat Titans.🌅❤️ #MIvGT #SuryakumarYadav #RashidKhan https://t.co/pY9cEF0Wft,0.0,0.0,neutral,objective
IPL Mumbai Indians won Against Gujrat Titans by 27 runs at Mumbai   #Mumbai #IPL #mumbaiindians #GujratTitans  https://t.co/vWp6NWYjnC,0.0,0.0,neutral,objective
"RT @Delldiamond4: Munawar Was Live On Star sports. It was His First Time On TV.   @munawar0018  was Seen, Supporting Gujrat Titans 😊😌 So I…",0.21212121212121213,0.3611111111111111,positive,objective
RT @Mufaddal_V0hra: Predict the score of Rohit Sharma VS Gujrat titans today the correct one's will get ₹3000. #MIvsGT  Note:- Must follow…,0.0,0.0,neutral,objective
@gujarat_titans @rashidkhan_19 Super Star Khan and thanks to Gujrat Titans  🇦🇫❤🇮🇳,0.26666666666666666,0.43333333333333335,positive,objective
@ACKOIndia Gujrat TITANS today #BoliBachchan  #ACKOForTheFans  #MIvsGT  @ACKOIndia https://t.co/cuuqDVUZuu,0.0,0.0,neutral,objective
RT @ashaa_45: Mumbai Indians defeated Gujrat Titans ❤️ Well done @mipaltan https://t.co/ixU0H92suw,0.0,0.0,neutral,objective
RT @ashaa_45: Mumbai Indians defeated Gujrat Titans ❤️ Well done @mipaltan https://t.co/ixU0H92suw,0.0,0.0,neutral,objective
RT @AzamAmir96: Rashid Khan for Gujrat Titans despite the defeat   79 runs of 32 Ball 10 Sixes 3 Fours  4 Wickets  7.5 Economy  1 Catch   S…,0.0,0.0,neutral,objective
"RT @Sillent01: @Gujrat_titans_ So all these 7 teams will be against us today + Csk 😭, it's Whole IPL teams vs MI today.   Aaj haroge beta t…",0.2,0.4,positive,objective
RT @PAWANKU96694910: @Gujrat_titans_ देख रहा है बिनोद 9 टीमें मिलकर एक टीम को बाहर करने के लिए कैसे झुंड बनाकर आया है  किंतु हमारा @mipalta…,0.0,0.0,neutral,objective
