tweet_text,sentiment,subjectivity,sentiment_word,subjectivity_word
Comment your TOP 4  I will START!  Gujrat Titans Chennai Super Kings Mumbai Indians Rajsthan Royals  Continue...  #IPL2023,0.47916666666666663,0.5833333333333333,positive,subjective
RT @Gujrat_titans_: 🅿🆁🅰🅱🅷🆂🅸🅼🆁🅰🅽  🆂🅸🅽🅶🅷  𝘼𝙥𝙥𝙧𝙚𝙘𝙞𝙖𝙩𝙞𝙤𝙣 𝙩𝙬𝙚𝙚𝙩 👏 #PBKSvsDC #DCvPBKS https://t.co/Ak0t7VeXzq,0.0,0.0,neutral,objective
🅿🆁🅰🅱🅷🆂🅸🅼🆁🅰🅽  🆂🅸🅽🅶🅷  𝘼𝙥𝙥𝙧𝙚𝙘𝙞𝙖𝙩𝙞𝙤𝙣 𝙩𝙬𝙚𝙚𝙩 👏 #PBKSvsDC #DCvPBKS https://t.co/Ak0t7VeXzq,0.0,0.0,neutral,objective
"Since it's a season of IPL, Gujrat Titans may have a edge this time, but metaphorically speaking, they will have no edge in 2024.  More importantly, brand Modi has suffered a more serious drubbing than BJP.  Clearly, he doesn't have as many takers as he had during 2019.",0.2380952380952381,0.5357142857142857,positive,subjective
RT @Mufaddal_V0hra: Predict the score of Rohit Sharma VS Gujrat titans today the correct one's will get ₹3000. #MIvsGT  Note:- Must follow…,0.0,0.0,neutral,objective
RT @Dr_Saaheba: RCB has  defeated Gujrat Titans in the Indian Political League!  #KarnatakaElectionResults2023,0.0,0.1,neutral,objective
RT @Dr_Saaheba: RCB has  defeated Gujrat Titans in the Indian Political League!  #KarnatakaElectionResults2023,0.0,0.1,neutral,objective
@Gujrat_titans_ No ball nahi tha bhai  Leg bent tha,0.0,0.0,neutral,objective
RT @Gujrat_titans_: 👀 ?  #SRHvsLSG #LSGvsSRH https://t.co/hL1QyoktOi,0.0,0.0,neutral,objective
👀 ?  #SRHvsLSG #LSGvsSRH https://t.co/hL1QyoktOi,0.0,0.0,neutral,objective
