tweet_text,sentiment,subjectivity,sentiment_word,subjectivity_word
"#KarnatakaElectionResults2023 We are busy watching mumbai Indians and Gujrat titans - #BajrangDal is now going to ban in Karnatka. Someone plz ask Congress to don't forget this promise.",0.1,0.3,positive,objective
RT @ashaa_45: Mumbai Indians defeated Gujrat Titans ❤️ Well done @mipaltan https://t.co/ixU0H92suw,0.0,0.0,neutral,objective
RT @AzamAmir96: Rashid Khan for Gujrat Titans despite the defeat   79 runs of 32 Ball 10 Sixes 3 Fours  4 Wickets  7.5 Economy  1 Catch   S…,0.0,0.0,neutral,objective
RT @Dr_Saaheba: RCB has  defeated Gujrat Titans in the Indian Political League!  #KarnatakaElectionResults2023,0.0,0.1,neutral,objective
"RT @Shantanu630: Wow pretty cool jersey 🤩  One reason Gujrat Titans jersey look so good coz it's simple, neat and clean. The main sponsor i…",0.2761904761904762,0.6629251700680271,positive,subjective
RT @Dr_Saaheba: RCB has  defeated Gujrat Titans in the Indian Political League!  #KarnatakaElectionResults2023,0.0,0.1,neutral,objective
RT @Dr_Saaheba: RCB has  defeated Gujrat Titans in the Indian Political League!  #KarnatakaElectionResults2023,0.0,0.1,neutral,objective
RT @Dr_Saaheba: RCB has  defeated Gujrat Titans in the Indian Political League!  #KarnatakaElectionResults2023,0.0,0.1,neutral,objective
@ParagRiyan @RCBTweets @imVkohli Most Wins in IPL  Mumbai Indians5 times  Chennai Super Kings4 times  Kolkata Knight Riders2 times  Sunrisers Hyderabad1 time  Rajasthan Royals1 time  Deccan Chargers1 time  Gujrat Titans 1 time  Royal Challengers Bangalore 0  @RCBTweets,0.37777777777777777,0.45555555555555555,positive,objective
RT @_abhishek_mahla: 📅 28 May 2023  IPL 2023 Final Gujrat  Titans v Chennai Super Kings Winner- Gujrat Titans ✅ Save krlo #IPL2023 #IPLHind…,0.16666666666666666,0.8333333333333333,positive,subjective
