tweet_text,sentiment,subjectivity,sentiment_word,subjectivity_word
RT @Mufaddal_V0hra: Predict the score of Rohit Sharma VS Gujrat titans today the correct one's will get ₹3000. #MIvsGT  Note:- Must follow…,0.0,0.0,neutral,objective
"RT @Delldiamond4: Munawar Was Live On Star sports. It was His First Time On TV.   @munawar0018  was Seen, Supporting Gujrat Titans 😊😌 So I…",0.21212121212121213,0.3611111111111111,positive,objective
The lion of Afghanistan 🇦🇫♥️ King of the world T20I cricket Rashid Khan 🇦🇫🏏 @rashidkhan_19  @ACBofficials  @IPL  @Gujrat_titans_ https://t.co/Wz8kiKkyPB,0.0,0.0,neutral,objective
RT @AzamAmir96: Rashid Khan for Gujrat Titans despite the defeat   79 runs of 32 Ball 10 Sixes 3 Fours  4 Wickets  7.5 Economy  1 Catch   S…,0.0,0.0,neutral,objective
RT @ashaa_45: Mumbai Indians defeated Gujrat Titans ❤️ Well done @mipaltan https://t.co/ixU0H92suw,0.0,0.0,neutral,objective
कौन है आकाश मधवाल जिसने अपनी घातक बॉलिंग से उड़ाए शुभमन गिल और डेविड मिलर के होश     #AkashMadhwal #MIvsGT   https://t.co/i2t04yWxuD,0.0,0.0,neutral,objective
MI win from gujrat titans 😘😍😍😘 MI fans like bhar do yarr 👍👍👍,0.8,0.4,positive,objective
RT @Mufaddal_V0hra: Predict the score of Rohit Sharma VS Gujrat titans today the correct one's will get ₹3000. #MIvsGT  Note:- Must follow…,0.0,0.0,neutral,objective
RT @ashaa_45: Mumbai Indians defeated Gujrat Titans ❤️ Well done @mipaltan https://t.co/ixU0H92suw,0.0,0.0,neutral,objective
Mumbai Indians batter Suryakumar Yadav hit his maiden IPL century against defending champions Gujarat Titans. Suryakumar scored an unbeaten 103 to register his highest score in the Indian Premier League. @IPL @surya_14kumar @mipaltan @Gujrat_titans_ #TATAIPL2023 #MIvsGT https://t.co/XDA0islGN5,0.0,0.0,neutral,objective
